month_end,ticker,permno,weight,composite_score,normalized_composite_score,mktcap
1990-12-31,MO,13901,0.09430739466353419,269.3,1.86,47891985.75
1990-12-31,LLY,50876,0.07241050996473998,310.5,7.54,19544198.75
1990-12-31,MRK,22752,0.07047918113762328,268.4,1.74,34815597.75
1990-12-31,PG,18163,0.05564216660810004,259.2,0.47,30030635.25
1990-12-31,INTC,59328,0.04653840036844225,303.5,6.58,7686563.5
1990-12-31,PCG,13688,0.04474535657790297,293.6,5.21,10523300.0
1990-12-31,ARC,10604,0.04179817956855483,265.1,1.28,19937498.25
1990-12-31,CPQ,68347,0.040228963745905344,301.7,6.33,4830942.88
1990-12-31,NSC,64311,0.03945759120782854,296.1,5.56,6572410.25
1990-12-31,FNM,51043,0.039379927241454324,291.0,4.86,8510456.25
1990-12-31,DTE,11674,0.038469494964379,300.9,6.22,4150433.5
1990-12-31,GS,16424,0.03509411939580109,291.0,4.86,6095597.75
1990-12-31,SCE,15720,0.03247876141390755,281.6,3.56,8274702.75
1990-12-31,STJM,68591,0.03239777915757236,298.6,5.9,1623052.5
1990-12-31,ACAD,85631,0.027295646313815102,292.2,5.02,1235204.25
1990-12-31,HON,18374,0.027199664947891833,286.7,4.26,3318365.0
1990-12-31,NKE,57665,0.02466561466183979,286.7,4.26,1890542.5
1990-12-31,AMB,10225,0.023383851879110577,268.5,1.75,8240655.0
1990-12-31,CL,18729,0.020126868657027844,272.4,2.29,4889993.75
1990-12-31,IMA,12511,0.01915707357083964,279.2,3.23,1701150.0
1990-12-31,SGP,25013,0.018834920155663622,257.2,0.19,10068598.75
1990-12-31,AHC,28484,0.01721939700500866,271.1,2.11,3756931.5
1990-12-31,PD,17806,0.016357939009946233,274.5,2.58,1950334.88
1990-12-31,PEG,23712,0.014744433597669726,262.4,0.91,5743129.88
1990-12-31,GRN,62252,0.014424329495911001,255.8,0.0,8127456.0
1990-12-31,GEB,25910,0.014227112884178892,271.1,2.11,2070915.0
1990-12-31,NWL,60986,0.013786505121284886,272.0,2.23,1472922.0
1990-12-31,KWP,89392,0.013784237345174238,273.4,2.43,927619.0
1990-12-31,AAPL,14593,0.01375834671873436,263.1,1.01,4915502.0
1990-12-31,LIZC,49905,0.011416520127442757,265.6,1.35,2624515.25
1990-12-31,WEN,63060,0.009624891632162838,268.2,1.71,604681.25
1990-12-31,AGC,48397,0.006979580125719549,256.5,0.1,3660664.5
1990-12-31,NEM,21207,0.005461616334580819,256.6,0.11,2766501.75
1990-12-31,GAS,48274,0.004123624400251972,258.5,0.37,1274284.0
1990-12-31,ECL,70578,-0.0,87.6,1.8,501563.75
1990-12-31,AAL,63845,-0.0,85.7,0.59,939245.0
1990-12-31,BCR,46877,-0.0,84.1,0.71,901629.0
1990-12-31,LOW,61399,-0.0,83.0,3.35,919362.5
1990-12-31,XRX,27983,-0.0,82.3,1.83,3273952.0
1990-12-31,WY,39917,-0.0,79.0,1.27,4400965.62
1990-12-31,MST,22891,-0.0,78.8,0.06,1105320.0
1990-12-31,BSET,17137,-0.0,75.4,3.2,256523.75
1990-12-31,DAL,26112,-0.0,72.3,4.59,2362127.5
1990-12-31,HDL,39765,-0.0,71.7,1.71,421862.25
1990-12-31,BLY,58480,-0.0,70.7,5.0,64332.25
1990-12-31,TRW,18681,-0.0,70.3,2.02,2300603.25
1990-12-31,SMI,44062,-0.0,70.2,4.34,400688.75
1990-12-31,NYT,47466,-0.0,70.0,2.23,1562343.75
1990-12-31,VFC,43553,-0.0,67.1,0.0,1047613.88
1990-12-31,S,14322,-0.0,66.0,2.58,8705858.0
1990-12-31,BDK,20220,-0.0,65.9,3.41,577659.38
1990-12-31,MAS,34032,-0.0,65.0,0.81,2530972.25
1990-12-31,WHR,25419,-0.0,63.5,1.89,1632427.5
1990-12-31,TJX,40539,-0.0,62.2,2.14,759183.75
1990-12-31,MYG,13119,-0.0,61.9,1.05,1123285.62
1990-12-31,NOBE,57817,-0.0,60.8,3.26,1818581.5
1990-12-31,TDM,74617,-0.0,56.3,2.17,1224972.75
1990-12-31,DEC,43916,-0.0,55.5,4.25,6542032.88
1990-12-31,ECH,31536,-0.0,54.0,3.72,627930.0
1990-12-31,GCO,21055,-0.0,51.1,5.24,76480.88
1990-12-31,OG,34841,-0.0,49.1,4.96,799462.5
1990-12-31,TDY,43123,-0.0,40.3,3.13,817341.75
1990-12-31,WH,38973,-0.0,35.8,4.19,1850526.0
1990-12-31,HMX,22250,-0.0,24.0,4.87,175236.25
1990-12-31,RYC,64346,-0.0,22.5,5.27,788395.5
1990-12-31,MHS,46703,-0.0,18.0,4.62,982936.5
1990-12-31,AS,17566,-0.0,15.7,4.65,453367.75
1990-12-31,TIC,47300,-0.0,7.1,5.06,1692159.0
1991-01-31,MO,13901,0.1001758564193184,272.6,2.57,51478100.62
1991-01-31,MRK,22752,0.07316669995484028,272.9,2.61,35445087.0
1991-01-31,LLY,50876,0.07049094773735548,307.9,7.04,20811570.0
1991-01-31,PG,18163,0.05249311031301122,261.6,1.18,27473914.5
1991-01-31,FNM,51043,0.0490922983094775,304.5,6.61,9466016.25
1991-01-31,NSC,64311,0.04423917960137245,302.9,6.4,7202102.25
1991-01-31,PCG,13688,0.04382418119042637,293.2,5.18,10575916.5
1991-01-31,CPQ,68347,0.038300746494441915,296.8,5.63,5977086.75
1991-01-31,NKE,57665,0.03525651472729475,302.0,6.29,2242817.5
1991-01-31,GS,16424,0.03494753918911442,290.5,4.83,6350592.88
1991-01-31,DTE,11674,0.03361986516961319,294.3,5.32,4150433.5
1991-01-31,ARC,10604,0.03360920411664647,253.8,0.19,19252083.75
1991-01-31,STJM,68591,0.03167319049708035,297.4,5.71,1846516.25
1991-01-31,ACAD,85631,0.02770382770499777,293.1,5.16,1110746.0
1991-01-31,SCE,15720,0.027044466972845405,273.0,2.62,8220084.25
1991-01-31,INTC,59328,0.025620617296846362,268.3,2.03,9134033.25
1991-01-31,PD,17806,0.02554296024049909,287.1,4.4,2075190.75
1991-01-31,CL,18729,0.02496020503105971,279.3,3.42,4641350.0
1991-01-31,AMB,10225,0.024886116205075637,270.0,2.24,8066906.25
1991-01-31,HON,18374,0.023332610362716503,279.5,3.44,3607323.75
1991-01-31,AAPL,14593,0.020698375205905187,268.0,1.99,6344427.0
1991-01-31,SRR,27764,0.019844606762321554,281.3,3.67,879784.5
1991-01-31,GRN,62252,0.018948935180845013,261.1,1.11,7887128.0
1991-01-31,SGP,25013,0.017683243279600157,253.1,0.1,10125323.25
1991-01-31,PEG,23712,0.016755330449637135,263.6,1.43,5661474.0
1991-01-31,IMA,12511,0.01604019858098424,272.6,2.57,1882606.0
1991-01-31,AGC,48397,0.013068875931942416,262.5,1.29,3898756.5
1991-01-31,GEB,25910,0.0129435497492642,267.0,1.86,2146221.0
1991-01-31,UST,15077,0.010028115875571805,256.4,0.52,4381834.0
1991-01-31,WEN,63060,0.009608323603459453,265.7,1.7,665149.38
1991-01-31,PCI,32475,0.009233552362780992,253.3,0.13,5069872.0
1991-01-31,LIZC,49905,0.008459916597003686,256.8,0.57,3308212.5
1991-01-31,TIN,66114,0.004393818428553038,253.9,0.2,1993170.0
1991-01-31,JP,48485,0.002313020458097921,252.3,0.0,1363457.5
1991-01-31,BCR,46877,-0.0,92.7,0.67,1020962.25
1991-01-31,BG,10866,-0.0,91.7,3.81,423017.0
1991-01-31,ECL,70578,-0.0,88.0,1.78,545819.38
1991-01-31,MST,22891,-0.0,83.1,0.03,1266512.5
1991-01-31,DE,19350,-0.0,79.5,0.21,4157017.12
1991-01-31,HDL,39765,-0.0,78.8,1.66,434149.5
1991-01-31,NYT,47466,-0.0,75.0,2.21,1713843.75
1991-01-31,BLY,58480,-0.0,74.5,4.87,87037.75
1991-01-31,SMI,44062,-0.0,73.5,4.14,471528.75
1991-01-31,XRX,27983,-0.0,72.0,1.75,4495920.0
1991-01-31,TRW,18681,-0.0,70.7,1.97,2414494.5
1991-01-31,BSET,17137,-0.0,69.1,3.33,273882.5
1991-01-31,VFC,43553,-0.0,67.0,0.0,1282792.5
1991-01-31,ORCL,10104,-0.0,65.9,4.57,1203192.0
1991-01-31,BDK,20220,-0.0,63.1,3.39,654680.62
1991-01-31,ECH,31536,-0.0,62.4,2.93,662815.0
1991-01-31,MAS,34032,-0.0,62.0,0.76,2918931.5
1991-01-31,DAL,26112,-0.0,60.5,4.42,2891752.5
1991-01-31,WHR,25419,-0.0,59.6,1.88,1727941.88
1991-01-31,MYG,13119,-0.0,58.3,1.0,1255436.88
1991-01-31,DEC,43916,-0.0,57.9,4.05,8538917.62
1991-01-31,NOBE,57817,-0.0,54.3,3.15,2247795.0
1991-01-31,S,14322,-0.0,53.2,2.51,9863780.0
1991-01-31,TJX,40539,-0.0,51.6,2.12,837720.0
1991-01-31,OG,34841,-0.0,47.5,4.84,890068.25
1991-01-31,TDM,74617,-0.0,46.7,2.09,1435720.75
1991-01-31,GCO,21055,-0.0,41.5,5.05,93476.62
1991-01-31,TDY,43123,-0.0,38.6,3.06,1101333.38
1991-01-31,WH,38973,-0.0,35.1,4.02,2094692.62
1991-01-31,HMX,22250,-0.0,26.5,4.78,167726.12
1991-01-31,RYC,64346,-0.0,25.2,5.11,968205.0
1991-01-31,MHS,46703,-0.0,17.8,4.45,959533.25
1991-01-31,AS,17566,-0.0,15.9,4.48,398079.0
1991-01-31,TIC,47300,-0.0,9.4,4.93,1883004.0
1991-02-28,MO,13901,0.1106580806630826,277.8,2.06,61079634.0
1991-02-28,BMY,19393,0.08266132710933115,288.9,3.62,39293159.75
1991-02-28,MRK,22752,0.0799420582822043,284.4,2.99,39560978.25
1991-02-28,LLY,50876,0.06074256148115721,300.3,5.22,21078385.0
1991-02-28,PG,18163,0.04950091316035315,267.7,0.65,28167262.5
1991-02-28,CPQ,68347,0.043657426975717104,311.4,6.78,5934240.25
1991-02-28,FNM,51043,0.04249095377783059,298.4,4.96,10779911.25
1991-02-28,NSC,64311,0.042198615609701895,307.0,6.16,6926612.0
1991-02-28,NKE,57665,0.03761266977004173,311.4,6.78,2254560.0
1991-02-28,PCG,13688,0.03641526381792371,290.1,3.79,10628533.0
1991-02-28,INTC,59328,0.03630105884913021,292.5,4.13,9533335.25
1991-02-28,STJM,68591,0.03624413490032812,309.8,6.56,2105263.75
1991-02-28,PD,17806,0.02891671520554736,299.0,5.04,2260321.88
1991-02-28,DTE,11674,0.026536383469508002,290.8,3.89,4315716.25
1991-02-28,AAPL,14593,0.024300436759465166,282.4,2.71,6544476.5
1991-02-28,SRR,27764,0.023825916093400793,294.8,4.45,956287.5
1991-02-28,IMA,12511,0.022571678136866082,290.7,3.88,1944981.5
1991-02-28,SRV,51625,0.021591904215478932,291.2,3.95,1134872.12
1991-02-28,LIZ,49905,0.019521483378968092,281.8,2.63,3891759.75
1991-02-28,CL,18729,0.01947640213627571,279.4,2.29,4889993.75
1991-02-28,MER,52919,0.018410844639884093,282.6,2.74,2873778.25
1991-02-28,GEB,25910,0.01747915639112517,282.7,2.75,2263886.62
1991-02-28,NWL,60986,0.015001907592109575,280.5,2.44,1696092.0
1991-02-28,HON,18374,0.014947398659292212,273.9,1.52,4483521.25
1991-02-28,UST,15077,0.014363598012507757,272.9,1.38,4555504.25
1991-02-28,WEN,63060,0.01084981891426676,276.8,1.92,749804.75
1991-02-28,MHP,17478,0.00989691636314589,270.7,1.07,2776664.0
1991-02-28,CB,59192,0.009836113370863743,264.3,0.17,5474788.75
1991-02-28,PCI,32475,0.009635737701055691,265.1,0.28,5010920.0
1991-02-28,TIN,66114,0.009390923425217369,271.7,1.21,2041281.0
1991-02-28,NOC,24766,0.007532248007622018,271.0,1.11,1208988.25
1991-02-28,AGC,48397,0.007467708885551774,263.5,0.06,4374940.5
1991-02-28,MAT,39538,0.005054350715531926,267.5,0.62,1196373.75
1991-02-28,KWP,89392,0.003012293532132177,264.6,0.21,1192653.0
1991-02-28,ACAD,85631,0.0019549999973818835,263.1,0.0,1190085.0
1991-02-28,HDL,39765,-0.0,90.6,1.39,380904.75
1991-02-28,ALD,10145,-0.0,89.7,1.33,4010151.25
1991-02-28,ECH,31536,-0.0,86.4,2.28,718631.0
1991-02-28,BSET,17137,-0.0,85.4,2.77,281451.5
1991-02-28,CUE,13354,-0.0,84.6,4.62,484241.25
1991-02-28,ASN,48514,-0.0,84.6,2.93,1335895.88
1991-02-28,BLY,58480,-0.0,84.2,4.57,155154.25
1991-02-28,DE,19350,-0.0,82.7,0.0,3928714.12
1991-02-28,DEC,43916,-0.0,81.2,3.75,8658134.62
1991-02-28,NC,28118,-0.0,80.2,1.22,294716.25
1991-02-28,ORCL,10104,-0.0,79.3,3.97,1235871.0
1991-02-28,CBS,20730,-0.0,77.2,2.72,4024920.0
1991-02-28,DAL,26112,-0.0,75.8,4.43,3183046.25
1991-02-28,SPP,18032,-0.0,75.2,2.91,3212414.12
1991-02-28,MAS,34032,-0.0,70.9,0.38,3214519.5
1991-02-28,HM,12319,-0.0,69.6,4.1,1605857.5
1991-02-28,TRW,18681,-0.0,68.6,1.82,2460051.0
1991-02-28,VFC,43553,-0.0,66.6,0.73,1475211.38
1991-02-28,FPL,24205,-0.0,62.9,4.13,4335408.0
1991-02-28,MYG,13119,-0.0,58.3,1.25,1400803.25
1991-02-28,TJX,40539,-0.0,58.2,1.47,1082055.0
1991-02-28,S,14322,-0.0,57.6,2.12,10678614.0
1991-02-28,RYC,64346,-0.0,56.8,4.73,972815.5
1991-02-28,GCO,21055,-0.0,54.9,4.59,99141.88
1991-02-28,TDM,74617,-0.0,53.5,1.6,1409377.25
1991-02-28,WH,38973,-0.0,46.3,3.26,2313157.5
1991-02-28,TDY,43123,-0.0,45.8,2.74,1191379.5
1991-02-28,WHR,25419,-0.0,45.6,2.61,1771357.5
1991-02-28,PMI,71001,-0.0,45.5,2.53,633826.88
1991-02-28,OG,34841,-0.0,42.6,3.32,954025.25
1991-02-28,AVY,44601,-0.0,38.9,3.12,1475475.0
1991-02-28,HMX,22250,-0.0,29.5,4.05,187753.12
1991-02-28,MHS,46703,-0.0,19.8,4.08,1532912.88
1991-02-28,AS,17566,-0.0,16.9,4.02,475483.25
1991-02-28,TIC,47300,-0.0,11.2,4.46,2124741.0
1991-03-31,MO,13901,0.10258582601095632,279.1,2.38,62930532.0
1991-03-31,BMY,19393,0.07888342729187783,292.0,3.92,41132973.25
1991-03-31,MRK,22752,0.07569278822955257,287.3,3.36,40868379.0
1991-03-31,FNM,51043,0.05271436533634278,317.4,6.96,12439245.0
1991-03-31,LLY,50876,0.05050726012318878,293.3,4.08,20903548.5
1991-03-31,PG,18163,0.04343395439745371,260.8,0.19,29475212.25
1991-03-31,CHV,14541,0.04255356728212337,264.8,0.67,27205255.0
1991-03-31,CPQ,68347,0.03612596451696845,306.7,5.68,5366524.12
1991-03-31,PCG,13688,0.034975195507352716,291.2,3.83,10996848.5
1991-03-31,MER,52919,0.032242392945824275,304.7,5.44,3501240.75
1991-03-31,STJM,68591,0.03140050203862312,306.2,5.62,2294906.25
1991-03-31,INTC,59328,0.031021949454492905,288.4,3.49,9415029.25
1991-03-31,NKE,57665,0.02948202640393439,303.3,5.27,2166491.25
1991-03-31,DTE,11674,0.02807674747265282,295.9,4.39,4260622.0
1991-03-31,NSC,64311,0.0277569291218501,288.7,3.53,7025001.38
1991-03-31,PD,17806,0.024431691720175695,294.5,4.22,2311986.38
1991-03-31,IMA,12511,0.02335221433863547,292.8,4.02,2268035.62
1991-03-31,SRR,27764,0.02232150054645547,293.9,4.15,1096582.5
1991-03-31,LIZ,49905,0.022097705694303246,287.4,3.37,3637257.75
1991-03-31,HON,18374,0.02156060901020455,285.0,3.08,4260000.0
1991-03-31,SRV,51625,0.020814367821778933,291.3,3.84,1129169.25
1991-03-31,CL,18729,0.018654786132336447,278.2,2.27,5064044.38
1991-03-31,AAPL,14593,0.01829209330734213,270.3,1.33,8089008.0
1991-03-31,SGP,25013,0.018268378789187557,263.6,0.53,10851471.88
1991-03-31,GEB,25910,0.016627684487085716,281.6,2.68,2247240.0
1991-03-31,UST,15077,0.015202804631572484,273.2,1.67,4742533.75
1991-03-31,CB,59192,0.015059554931216952,270.2,1.32,5887425.0
1991-03-31,NOC,24766,0.014027871776885963,279.4,2.41,1355710.12
1991-03-31,WEN,63060,0.010961518183194876,275.0,1.89,1052928.38
1991-03-31,KWP,89392,0.01049600563737449,274.1,1.78,1103196.75
1991-03-31,TIN,66114,0.010453320613870403,271.8,1.51,2027535.0
1991-03-31,MHP,17478,0.008428488609324878,266.4,0.86,2862229.5
1991-03-31,PE,21776,0.007131347483460769,260.8,0.19,4284821.75
1991-03-31,NWL,60986,0.002744463360553999,259.2,0.0,1904384.0
1991-03-31,MNR,59926,0.001620696791845903,260.0,0.1,792790.75
1991-03-31,ALD,10145,-0.0,83.8,1.11,3905952.0
1991-03-31,LDG,53612,-0.0,83.5,2.95,854548.5
1991-03-31,BLY,58480,-0.0,82.6,4.92,143801.5
1991-03-31,MST,22891,-0.0,81.9,0.13,1436916.0
1991-03-31,CBS,20730,-0.0,81.1,2.73,2192375.25
1991-03-31,MMO,22023,-0.0,80.9,3.37,41663.12
1991-03-31,ASN,48514,-0.0,80.7,2.98,1310667.88
1991-03-31,BSET,17137,-0.0,80.6,2.83,304584.5
1991-03-31,DEC,43916,-0.0,80.0,3.94,8288700.62
1991-03-31,ORCL,10104,-0.0,79.6,4.25,1235871.0
1991-03-31,HM,12319,-0.0,79.4,4.41,1568799.25
1991-03-31,HDL,39765,-0.0,78.9,1.81,397287.75
1991-03-31,NC,28118,-0.0,78.2,0.95,288736.5
1991-03-31,TJX,40539,-0.0,76.2,1.65,1186770.0
1991-03-31,DAL,26112,-0.0,76.2,4.76,2950498.62
1991-03-31,PCAR,60506,-0.0,75.5,2.38,1352440.0
1991-03-31,VFC,43553,-0.0,71.4,0.38,1525097.75
1991-03-31,MAS,34032,-0.0,70.5,0.0,3399262.0
1991-03-31,FPL,24205,-0.0,68.0,4.38,4783372.0
1991-03-31,TRW,18681,-0.0,66.1,1.52,2429375.0
1991-03-31,SPP,18032,-0.0,65.9,3.02,2963889.25
1991-03-31,S,14322,-0.0,62.6,2.03,12008080.0
1991-03-31,MYG,13119,-0.0,62.2,1.02,1612336.75
1991-03-31,TDM,74617,-0.0,53.4,1.43,1464897.5
1991-03-31,WHR,25419,-0.0,48.0,2.54,2040534.38
1991-03-31,PMI,71001,-0.0,47.4,2.51,668399.25
1991-03-31,TDY,43123,-0.0,45.5,2.79,1226012.62
1991-03-31,WH,38973,-0.0,44.2,3.49,2698683.75
1991-03-31,OG,34841,-0.0,42.4,3.62,857560.0
1991-03-31,AVY,44601,-0.0,42.2,3.27,1498650.0
1991-03-31,RYC,64346,-0.0,37.6,5.08,955838.12
1991-03-31,HMX,22250,-0.0,34.1,4.32,237975.0
1991-03-31,MHS,46703,-0.0,23.2,4.35,1603122.62
1991-03-31,AS,17566,-0.0,16.6,4.29,431252.25
1991-03-31,TIC,47300,-0.0,14.5,4.79,2404647.0
1991-04-30,MO,13901,0.11233602238518907,276.9,2.07,61773720.75
1991-04-30,MRK,22752,0.08202863990926453,281.0,2.63,41739979.5
1991-04-30,BMY,19393,0.08145398139336502,285.5,3.23,39555990.25
1991-04-30,FNM,51043,0.0528558424946388,309.5,6.46,12439245.0
1991-04-30,CHV,14541,0.0451245493769697,261.5,0.0,27337748.12
1991-04-30,LLY,50876,0.04461704768088178,277.5,2.15,20502841.5
1991-04-30,MER,52919,0.04322538171378262,316.4,7.39,3789873.5
1991-04-30,PCG,13688,0.0396049071992646,293.1,4.26,11102081.5
1991-04-30,STJM,68591,0.036625367816491006,311.1,6.68,1953612.5
1991-04-30,PD,17806,0.030252457751698967,300.8,5.29,2294764.88
1991-04-30,NSC,64311,0.02989316137770655,287.9,3.56,7339847.38
1991-04-30,INTC,59328,0.029570453302294058,281.1,2.64,9918506.75
1991-04-30,AAPL,14593,0.027095685218633668,285.7,3.26,6542580.0
1991-04-30,SRR,27764,0.026207279317494867,297.8,4.89,1067976.0
1991-04-30,IMA,12511,0.025444146825456638,293.9,4.36,2196713.75
1991-04-30,DTE,11674,0.024308800937893654,287.2,3.46,4242257.25
1991-04-30,CPQ,68347,0.02390401155979052,286.6,3.38,4241803.5
1991-04-30,CB,59192,0.023553589671461123,283.1,2.91,5457387.0
1991-04-30,NKE,57665,0.021662480750188836,288.2,3.6,2231075.0
1991-04-30,LIZ,49905,0.021632017537693424,284.5,3.1,3722091.75
1991-04-30,CL,18729,0.0204853991803707,279.0,2.36,5271247.5
1991-04-30,HON,18374,0.020256571515626248,281.4,2.68,4153500.0
1991-04-30,PE,21776,0.019978989397695417,280.4,2.55,4393298.25
1991-04-30,SRV,51625,0.017881365063309076,285.3,3.21,1123466.38
1991-04-30,UST,15077,0.015684912482094273,273.2,1.58,4729174.5
1991-04-30,KWP,89392,0.015390584082084534,281.5,2.69,1164748.5
1991-04-30,NOC,24766,0.015097373837555637,281.1,2.64,1150299.5
1991-04-30,GEB,25910,0.014431891624813807,277.4,2.14,2256603.5
1991-04-30,WEN,63060,0.012931266254217632,278.3,2.26,980312.62
1991-04-30,MNR,59926,0.006644142660211876,269.4,1.06,802285.25
1991-04-30,JP,48485,0.00594100660389963,266.7,0.7,1477812.0
